author,year,paper_title,doi,country,state_region,lat,lon,ecosystem,lake_area,system_type,predator_latin,predator_common,base_latin,base_common,dN_top,dN_base,tp_base,fcl,tef,lake_id,ecosystem_key,TP
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,FP2,1.6,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,4.24,3.4,fp2,fp2,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,C24,1.3,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,4.29,3.4,c24,c24,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,N55,1.48,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,4.29,3.4,n55,n55,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,N122,1.3,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,4.29,3.4,n122,n122,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,N43,1.48,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,4.31,3.4,n43,n43,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,C40,1.48,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,4.41,3.4,c40,c40,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,C2,1.6,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,4.42,3.4,c2,c2,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,FP24,1.3,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,4.56,3.4,fp24,fp24,NA
"Johnson, B. M. et al.",2002,Tracking Trophic Interactions in Coldwater Reservoirs Using Naturally Occurring Stable Isotopes,10.1577/1548-8659(2002)131<0001:TTIICR>2.0.CO;2,USA,Colorado,38.472888,-107.207729,Blue Mesa Resevoir,1.73,Lake,Salvenlinus namaycush,Lake trout,Daphnia pulicaria,Daphnia,13.35,7.39,2,3.75,3.4,blue mesa resevoir,bluemesaresevoir,NA
"Paszkowski, C. A. et al.",2004,Trophic Relations of the Red-Necked Grebe on Lakes in the Western Boreal Forest: A Stable-Isotope Analysis,10.1093/condor/106.3.638,Canada,Alberta,54.654405,-113.638739,Armstrong Lake,2.34,Lake,Esox lucius,Northern pike,Trichoptera,Caddisfly,13.2,3.37,2,4.89,3.4,armstrong lake,armstronglake,43
"Gorski, P. R. et al.",2003,"Factors affecting enhanced mercury bioaccumulation in inland lakes of Isle Royale National Park, USA",10.1016/S0048-9697(02)00579-X,USA,Michigan,48.090938,-88.663756,Sargent Lake,2.16,Lake,Esox lucius,Northern pike,Ephemeroptera,Mayfly,10.3,3.7,2,3.94,3.4,sargent lake,sargentlake,NA
"Gorski, P. R. et al.",2003,"Factors affecting enhanced mercury bioaccumulation in inland lakes of Isle Royale National Park, USA",10.1016/S0048-9697(02)00579-X,USA,Michigan,48.041989,-88.69918,Richie Lake,2.33,Lake,Esox lucius,Northern pike,Zooplankton,Zooplankton,10,3.1,2,4.03,3.4,richie lake,richielake,NA
"Kidd, K. A. et al.",1999,"Effects of northern pike (Esox lucius) additions on pollutant accumulation and food web structure, as determined by ?13 C and ?15 N , in a eutrophic and an oligotrophic lake",10.1139/cjfas-56-11-2193,Canada,Ontario,NA,NA,110,0.72,Lake,Esox lucius,Northern pike,Benthic Invertebrates,Benthic Invertebrates,10.23,3.55,2,3.96,3.4,110,110,NA
"Kidd, K. A. et al.",1999,"Effects of northern pike (Esox lucius) additions on pollutant accumulation and food web structure, as determined by ?13 C and ?15 N , in a eutrophic and an oligotrophic lake",10.1139/cjfas-56-11-2193,Canada,Ontario,NA,NA,227,0.7,Lake,Esox lucius,Northern pike,Benthic Invertebrates,Benthic Invertebrates,9.94,3.24,2,3.97,3.4,227,227,NA
"Yoshioka, T. et al.",1994,A Stable Isotope Study on Seasonal Food Web Dynamics in a Eutrophic Lake,10.2307/1941739,Japan,Chubu,36.04928,138.085001,Lake Suwa,3.12,Lake,Hypomesus transpacificus f. nipponensis,Wakasagi,Zooplankton,Zooplankton,13.3,9.53,2,3.11,3.4,lake suwa,lakesuwa,110
"Vander Zanden, M. J. et al.",1999,Patterns of Food Chain Length in Lakes: A Stable Isotope Study,10.1086/303250,Canada,Ontario,45.23645,-78.565293,MacDonald Lake,2.14,Lake,Ambloplites rupestris,Rock bass,NA,NA,NA,NA,NA,3.46,3.4,macdonald lake,macdonaldlake,4.8
"Vander Zanden, M. J. et al.",1999,Patterns of Food Chain Length in Lakes: A Stable Isotope Study,10.1086/303250,Canada,Ontario,45.747562,-78.509559,Happy Isle,2.73,Lake,Micropterus dolomieu,Smallmouth bass,NA,NA,NA,NA,NA,4,3.4,happy isle,happyisle,4.71
